latitude,longitude,distance_from_last_point_m,cumulative_distance_m
40.83162,-73.95161,33.397,27952.389
40.83162,-73.95162,0.841,27953.23
40.83153,-73.95169,11.612,27964.842
40.8312,-73.95189,40.369,28005.21
40.8305050011071,-73.9523750050197,87.392,28092.602
40.82981,-73.95286,87.392,28179.994
40.8293,-73.95317,62.42,28242.414
40.82861,-73.95366,87.1,28329.514
40.82848,-73.95372,15.311,28344.825
40.82832,-73.95375,17.969,28362.795
40.82805,-73.95368,30.595,28393.39
40.82768,-73.9534,47.41,28440.799
40.82747,-73.95304,38.246,28479.045
40.82737,-73.95296,12.998,28492.044
40.82726,-73.95296,12.231,28504.275
40.82671,-73.95341,71.929,28576.204
40.8267,-73.95341,1.112,28577.316
40.82636,-73.95371,45.459,28622.775
40.82571,-73.95429,87.21,28709.984
40.82555,-73.95451,25.675,28735.659
40.82501,-73.95505,75.299,28810.958
40.8244900010891,-73.9555600040319,72.006,28882.964
40.82397,-73.95607,72.006,28954.969
40.82351,-73.95648,61.697,29016.666
40.82287,-73.95716,91.315,29107.981
40.82267,-73.95742,31.196,29139.177
40.82244,-73.95765,32.072,29171.249
40.82168,-73.95823,97.589,29268.838
40.82162,-73.95832,10.093,29278.93
40.8216,-73.9586,23.666,29302.596
40.82158,-73.95868,7.09,29309.686
40.8215,-73.95881,14.099,29323.785
40.82118,-73.95906,41.336,29365.121
40.8207650004021,-73.9594050022515,54.518,29419.639
40.82035,-73.95975,54.518,29474.158
40.8203,-73.95974,5.623,29479.781
40.81984,-73.96045,78.65,29558.431
40.8191000019642,-73.9611100072882,99.274,29657.704
40.81836,-73.96177,99.274,29756.978
40.81823,-73.96177,14.455,29771.433
40.81808,-73.96187,18.682,29790.115
40.8175750011168,-73.9623950040726,71.45,29861.565
40.81707,-73.96292,71.45,29933.014
40.81656,-73.96338,68.662,30001.676
40.8161300005256,-73.9637350023162,56.379,30058.056
40.8157,-73.96409,56.379,30114.435
40.81535,-73.96433,43.847,30158.282
40.81455,-73.96486,99.511,30257.793
